"@timestamp","source.ip","source.port","source.packets","source.bytes","destination.ip","destination.port","destination.packets","destination.bytes","network.bytes","network.transport","event.duration","network.packets"
"Jan 23, 2020 @ 14:28:40.002","185.176.27.30","44,026",2,112,"10.0.12.101","21,222",1,56,168,tcp,"85,098",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,734",4,288,"10.0.22.101","13,003",2,152,440,tcp,"241,155",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,734",2,144,"10.0.22.101","13,003",1,76,220,tcp,"197,138",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","37,336",4,288,"10.0.22.101","13,004",2,152,440,tcp,"273,333",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","37,336",2,144,"10.0.22.101","13,004",1,76,220,tcp,"230,643",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","47,520",4,288,"10.0.22.101","13,005",2,152,440,tcp,"246,976",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","47,520",2,144,"10.0.22.101","13,005",1,76,220,tcp,"198,018",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,508",4,288,"10.0.22.101","13,006",2,152,440,tcp,"242,726",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,508",2,144,"10.0.22.101","13,006",1,76,220,tcp,"195,173",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","44,872",4,288,"10.0.22.101","13,001",2,152,440,tcp,"250,798",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","44,872",2,144,"10.0.22.101","13,001",1,76,220,tcp,"194,242",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,580",4,288,"10.0.22.101","13,002",2,152,440,tcp,"286,796",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","54,580",2,144,"10.0.22.101","13,002",1,76,220,tcp,"211,392",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","40,746",4,288,"10.0.22.101","13,003",2,152,440,tcp,"239,538",6
"Jan 23, 2020 @ 14:28:40.002","10.0.12.101","40,746",2,144,"10.0.22.101","13,003",1,76,220,tcp,"191,770",3
"Jan 23, 2020 @ 14:28:40.002","192.168.4.10","54,584",12,"2,572","10.0.22.101","13,002",12,"1,326","3,898",tcp,"1,259,040",24
