,source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,event.duration
307,288.0,4.0,152.0,2.0,6.0,440.0,223918.0
308,144.0,2.0,76.0,1.0,3.0,220.0,191415.0
309,288.0,4.0,152.0,2.0,6.0,440.0,250736.0
310,144.0,2.0,76.0,1.0,3.0,220.0,194756.0
311,288.0,4.0,152.0,2.0,6.0,440.0,246987.0
312,144.0,2.0,76.0,1.0,3.0,220.0,199138.0
313,288.0,4.0,152.0,2.0,6.0,440.0,239790.0
314,144.0,2.0,76.0,1.0,3.0,220.0,193406.0
315,288.0,4.0,152.0,2.0,6.0,440.0,261716.0
316,144.0,2.0,76.0,1.0,3.0,220.0,199859.0
317,288.0,4.0,152.0,2.0,6.0,440.0,267384.0
318,144.0,2.0,76.0,1.0,3.0,220.0,197743.0
319,288.0,4.0,152.0,2.0,6.0,440.0,226138.0
320,144.0,2.0,76.0,1.0,3.0,220.0,207794.0
321,288.0,4.0,152.0,2.0,6.0,440.0,273316.0
322,144.0,2.0,76.0,1.0,3.0,220.0,229425.0
323,288.0,4.0,152.0,2.0,6.0,440.0,275261.0
324,144.0,2.0,76.0,1.0,3.0,220.0,211936.0
325,288.0,4.0,152.0,2.0,6.0,440.0,230228.0
326,144.0,2.0,76.0,1.0,3.0,220.0,209507.0
327,288.0,4.0,152.0,2.0,6.0,440.0,266033.0
328,144.0,2.0,76.0,1.0,3.0,220.0,205518.0
329,288.0,4.0,152.0,2.0,6.0,440.0,257318.0
330,144.0,2.0,76.0,1.0,3.0,220.0,199619.0
331,288.0,4.0,152.0,2.0,6.0,440.0,239750.0
332,144.0,2.0,76.0,1.0,3.0,220.0,196158.0
333,288.0,4.0,152.0,2.0,6.0,440.0,235759.0
334,144.0,2.0,76.0,1.0,3.0,220.0,199430.0
335,288.0,4.0,152.0,2.0,6.0,440.0,262520.0
336,144.0,2.0,76.0,1.0,3.0,220.0,201022.0
337,288.0,4.0,152.0,2.0,6.0,440.0,224382.0
338,144.0,2.0,76.0,1.0,3.0,220.0,204388.0
339,288.0,4.0,152.0,2.0,6.0,440.0,231937.0
340,144.0,2.0,76.0,1.0,3.0,220.0,185699.0
341,288.0,4.0,152.0,2.0,6.0,440.0,266326.0
342,144.0,2.0,76.0,1.0,3.0,220.0,199203.0
343,288.0,4.0,152.0,2.0,6.0,440.0,243557.0
344,144.0,2.0,76.0,1.0,3.0,220.0,212939.0
345,288.0,4.0,152.0,2.0,6.0,440.0,223815.0
346,144.0,2.0,76.0,1.0,3.0,220.0,186185.0
347,288.0,4.0,152.0,2.0,6.0,440.0,211773.0
348,144.0,2.0,76.0,1.0,3.0,220.0,174317.0
349,288.0,4.0,152.0,2.0,6.0,440.0,305949.0
350,144.0,2.0,76.0,1.0,3.0,220.0,223378.0
351,288.0,4.0,152.0,2.0,6.0,440.0,268081.0
352,144.0,2.0,76.0,1.0,3.0,220.0,229317.0
353,288.0,4.0,152.0,2.0,6.0,440.0,244041.0
354,144.0,2.0,76.0,1.0,3.0,220.0,198785.0
355,288.0,4.0,152.0,2.0,6.0,440.0,240693.0
356,144.0,2.0,76.0,1.0,3.0,220.0,195773.0
357,288.0,4.0,152.0,2.0,6.0,440.0,244406.0
358,144.0,2.0,76.0,1.0,3.0,220.0,194468.0
359,288.0,4.0,152.0,2.0,6.0,440.0,229969.0
360,144.0,2.0,76.0,1.0,3.0,220.0,193117.0
361,288.0,4.0,152.0,2.0,6.0,440.0,241950.0
362,144.0,2.0,76.0,1.0,3.0,220.0,194573.0
363,288.0,4.0,152.0,2.0,6.0,440.0,269911.0
364,144.0,2.0,76.0,1.0,3.0,220.0,201859.0
365,288.0,4.0,152.0,2.0,6.0,440.0,243361.0
366,144.0,2.0,76.0,1.0,3.0,220.0,193371.0
367,288.0,4.0,152.0,2.0,6.0,440.0,242101.0
368,144.0,2.0,76.0,1.0,3.0,220.0,190799.0
369,288.0,4.0,152.0,2.0,6.0,440.0,251645.0
370,144.0,2.0,76.0,1.0,3.0,220.0,201853.0
371,288.0,4.0,152.0,2.0,6.0,440.0,227688.0
372,144.0,2.0,76.0,1.0,3.0,220.0,206888.0
373,288.0,4.0,152.0,2.0,6.0,440.0,223397.0
374,144.0,2.0,76.0,1.0,3.0,220.0,200385.0
375,1412.0,12.0,1146.0,12.0,24.0,2558.0,1345177.0
376,706.0,6.0,573.0,6.0,12.0,1279.0,1193111.0
377,1292.0,12.0,2222.0,12.0,24.0,3514.0,509541406.0
378,646.0,6.0,1111.0,6.0,12.0,1757.0,509409902.0
379,288.0,4.0,152.0,2.0,6.0,440.0,238464.0
380,144.0,2.0,76.0,1.0,3.0,220.0,190599.0
381,288.0,4.0,152.0,2.0,6.0,440.0,248337.0
382,144.0,2.0,76.0,1.0,3.0,220.0,196460.0
383,1396.0,12.0,1034.0,10.0,22.0,2430.0,1106565.0
384,698.0,6.0,517.0,5.0,11.0,1215.0,1055871.0
385,2578.0,12.0,1324.0,12.0,24.0,3902.0,1232208.0
386,1289.0,6.0,662.0,6.0,12.0,1951.0,1099644.0
387,288.0,4.0,152.0,2.0,6.0,440.0,227918.0
388,144.0,2.0,76.0,1.0,3.0,220.0,195289.0
389,288.0,4.0,152.0,2.0,6.0,440.0,245968.0
390,144.0,2.0,76.0,1.0,3.0,220.0,196236.0
391,288.0,4.0,152.0,2.0,6.0,440.0,230527.0
392,144.0,2.0,76.0,1.0,3.0,220.0,194093.0
393,288.0,4.0,152.0,2.0,6.0,440.0,236018.0
394,144.0,2.0,76.0,1.0,3.0,220.0,192429.0
395,288.0,4.0,152.0,2.0,6.0,440.0,253347.0
396,144.0,2.0,76.0,1.0,3.0,220.0,195769.0
397,288.0,4.0,152.0,2.0,6.0,440.0,269749.0
398,144.0,2.0,76.0,1.0,3.0,220.0,213251.0
399,288.0,4.0,152.0,2.0,6.0,440.0,244399.0
400,144.0,2.0,76.0,1.0,3.0,220.0,193466.0
401,288.0,4.0,152.0,2.0,6.0,440.0,272572.0
402,144.0,2.0,76.0,1.0,3.0,220.0,228804.0
403,288.0,4.0,152.0,2.0,6.0,440.0,279538.0
404,144.0,2.0,76.0,1.0,3.0,220.0,206348.0
405,288.0,4.0,152.0,2.0,6.0,440.0,247633.0
406,144.0,2.0,76.0,1.0,3.0,220.0,199183.0
407,288.0,4.0,152.0,2.0,6.0,440.0,235692.0
408,144.0,2.0,76.0,1.0,3.0,220.0,190057.0
409,288.0,4.0,152.0,2.0,6.0,440.0,269226.0
410,144.0,2.0,76.0,1.0,3.0,220.0,199740.0
411,288.0,4.0,152.0,2.0,6.0,440.0,262738.0
412,144.0,2.0,76.0,1.0,3.0,220.0,227604.0
413,288.0,4.0,152.0,2.0,6.0,440.0,273221.0
414,144.0,2.0,76.0,1.0,3.0,220.0,227191.0
415,288.0,4.0,152.0,2.0,6.0,440.0,244963.0
416,144.0,2.0,76.0,1.0,3.0,220.0,195364.0
417,288.0,4.0,152.0,2.0,6.0,440.0,238675.0
418,144.0,2.0,76.0,1.0,3.0,220.0,196462.0
419,288.0,4.0,152.0,2.0,6.0,440.0,272907.0
420,144.0,2.0,76.0,1.0,3.0,220.0,208952.0
421,288.0,4.0,152.0,2.0,6.0,440.0,240362.0
422,144.0,2.0,76.0,1.0,3.0,220.0,194671.0
423,288.0,4.0,152.0,2.0,6.0,440.0,255900.0
424,144.0,2.0,76.0,1.0,3.0,220.0,195793.0
