source.bytes,source.packets,destination.bytes,destination.packets,network.packets,network.bytes,network.transport,event.duration
90.0,1.0,149.0,1.0,2.0,239.0,2.0,120091.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,33993.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,8704008305.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7167860667.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9215996493.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,7167840340.0
1556.0,11.0,2093.0,8.0,19.0,3649.0,1.0,3071869079.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,70015.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113445.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,114088.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5120011366.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,91270.0
22808.0,331.0,303856.0,323.0,654.0,326664.0,1.0,9030144020255.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
1928.0,15.0,2521.0,13.0,28.0,4449.0,1.0,5120107429.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,8704008305.0
56.0,1.0,56.0,1.0,2.0,112.0,1.0,45517.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7167860667.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,5632128110.0
1848.0,15.0,2289.0,10.0,25.0,4137.0,1.0,9215996493.0
3082.0,15.0,3038.0,16.0,31.0,6120.0,1.0,10240075291.0
1736.0,13.0,2233.0,9.0,22.0,3969.0,1.0,5119845923.0
135719.0,91.0,4554.0,63.0,154.0,140273.0,1.0,176128038794.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,112969.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,40683.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,89198.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,90331.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,70015.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,108417.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,113445.0
92.0,1.0,92.0,1.0,2.0,184.0,2.0,41771.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,114088.0
90.0,1.0,149.0,1.0,2.0,239.0,2.0,120091.0
90.0,1.0,178.0,1.0,2.0,268.0,2.0,101911.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,3588213580.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,8704008305.0
1792.0,14.0,2289.0,10.0,24.0,4081.0,1.0,7167860667.0
1320.0,8.0,1929.0,6.0,14.0,3249.0,1.0,2560136584.0
